,source_sentence,pred,bart_score_gold
133,"the same time , the UKMET model had Tropical Depression Four-E remaining offshore LOCATION@1 .","At the same time, the UKMET model had Tropical Depression Four-E remaining offshore LOCATION@1.",-1.100114703
134,"finished seventh , although he was later disqualified for an underweight car .","PERSON@1 finished seventh, although he was later disqualified for an underweight car.",-3.835497379
135,"after being recruited by the CIA , he served as an officer in the United States Air Force .","After being recruited by the CIA, he served as an officer in the United States Air Force.",-6.920321941
136,"is contested at the end of November at LOCATION@1 in LOCATION@2 , LOCATION@3 at a distance of NUMBER@1 meters -LRB- about 1 1/2 miles -RRB- over the grass .","It is contested at the end of November at LOCATION@1 in LOCATION@2, LOCATION@3 at a distance of NUMBER@1 meters over the grass.",-2.246513367
137,"Nick voted out , the former La Mina tribe attempted to flip some of the Casaya tribe members .","With Nick voted out, the former La Mina tribe tried to flip some of the Casaya tribe members.",-2.55589819
138,"September of 1999 , she released her second single '' Strong Woman '' , which also a commercial success .","In 1999, she released her second single '' Strong Woman ''.",-1.713204861
139,complaint accuses him of defamation and inciting violence against an ethnic group .,The complaint accuses him of defamation and inciting violence against an ethnic group.,-2.245194912
140,history of LiÃ vin begins very early .,The history of Li vin begins very early.,-3.364893198
141,"few parties now appear to have a spambot capable of spamming wikis from several different wiki engines , analogous to the submitter scripts for guestbooks and blogs .","A few parties now appear to have a spambot capable of spamming wikis from several different wiki engines, analogous to the submitter scripts for guestbooks and blogs.",-1.097354293
142,"March 24 , 1975 , Stallone saw the Muhammad Aliâ '' Chuck Wepner fight , which inspired the foundation idea of Rocky .","On March 24th 1975, Stallone saw the Muhammad Aliâ '' Chuck Wepner fight, which inspired the foundation idea of Rocky.",-1.662405849
143,"tried to come to her assistance ; he was roughly pushed back by one of the commisars ... '' Baroness Sophie Buxhoeveden told of her sad last glimpse of Anastasia : '' Once , standing on some steps at the door of a house close by , I saw a hand and a pink-sleeved arm opening the topmost pane .","Nagorny tried to come to her assistance ; he was pushed back by one of the commisars... '' Baroness Sophie Buxhoeveden told of her sad last glimpse of Anastasia : '' Once, standing on some steps at the door of a house close by, I saw a hand and a pink-sleeped arm opening the topmost pane.",-2.590895176
144,"as PERSON@1 , or PERSON@2 , under the regency of the Hereditary Prince of LOCATION@1 until he came of age in NUMBER@1 , the new duke also continued to use his British title , PERSON@3 of LOCATION@2 . As a result of PERSON@2 fighting for LOCATION@3 against the British in the First World War , he was stripped of his British titles in NUMBER@2 .","In NUMBER@3, PERSON@4 continued to use his British title, PERSON@3 of LOCATION@2.",-1.937100649
145,"are harmless to most other animals despite their mimicry of the black and yellow stripes of wasps , which serves to ward off predators .","Hoverflies are harmless to most other animals despite their mimicry of the black and yellow stripes of wasps, which serves to ward off predators.",-1.811342001
146,"town employs the Open Town Meeting form of government with a Town Manager and an elected , 5-member Board of Selectmen .",The town uses the Open Town Meeting form of government with a Town Manager and an elected 5-member Board of Selectmen.,-8.253099442
147,"as a ORGANIZATION@1 test track in NUMBER@1 by PERSON@1 , LOCATION@1 is one of few circuits in the world to have a '' figure NUMBER@2 '' layout , with the back straight passing over the front section by means of an overpass .","LOCATION@1 is one of few circuits in the world to have a '' figure NUMBER@2 '' layout, with the back straight passing over the front section by means of an overpass.",-0.921692669
148,seedless plants can also be considered annuals even though they do not grow a flower .,Some seedless plants can also be considered annuals even though they do not grow a flower.,-3.818678617
149,"New Super Mario Bros. , PERSON@1 is the boss of the first world , which features a battle similar to that of Super Mario Bros. .","In New Super Mario Bros., PERSON@1 is the boss of the first world.",-3.796004772
150,", he was assigned to the minors and would never play an NHL game for the Seals , and was dealt to the Boston Bruins mid-way through the 1971 â '' 72 season .","However, he was assigned to the minors and never played an NHL game for the Seals. He was dealt to the Boston Bruins mid-way through the 1971 â '' 72 season.",-1.301315427
151,"addition to thirty-six novels , Dick wrote approximately 121 short stories , many of which appeared in science fiction magazines .","In addition to his thirty-six novels, he wrote approximately 121 short stories, many of which appeared in science fiction magazines.",-2.480553865
152,"FSF is incorporated in Massachusetts , USA .","The FSF is incorporated in Massachusetts, USA.",-5.100745678
153,are a professional English football club based in LOCATION@1 in the LOCATION@2 Borough of LOCATION@3 .,ORGANIZATION@1 are a professional English football club which plays in LOCATION@1.,-2.571255922
154,is a commune in the Calvados département in the LOCATION@1 region of LOCATION@2 .,Fumichon is a commune. It is found in the region Basse-Normandie in the Calvados department in the northwest of LOCATION@2.,-2.903419256
155,See also Separation of church and state and Laïcité . -RRB-,-LRB- see also Separation of church and state and Lacité.,-4.786223412
156,"or activewear is clothing , including footwear , worn for sport or physical exercise .","Sportswear or activewear is clothing, including footwear, worn for sport or exercise.",-2.661872864
157,"his first wish , PERSON@1 asks to become a prince so he can marry PERSON@2 .","For his first wish, PERSON@1 asks to become a prince so he can marry PERSON@2.",-2.442036867
158,"eventually became known as Articles of Agreement , or the pirate 's code .","These became known as Articles of Agreement, or the pirate's code.",-1.850612879
159,tropics include all the areas on the LOCATION@1 where the sun reaches a point directly overhead and a point directly underneath at least once during the solar year .,The tropics include all the areas on the LOCATION@1 where the sun reaches a point directly overhead and a point directly underneath at least once during the solar year.,-1.600036979
160,"the Malay language , the tapir is commonly referred to as '' cipan '' , '' tenuk '' or '' badak tampong '' .","In the Malay language, the tapir is commonly referred to as '' cipan '', '' tenuk '' or '' badak tampong ''.",-0.678549469
161,is a German town in the district of Greiz in the state of Thuringia .,Zeulenroda-Triebes is a German town in the district of Greiz in the state of Thuringia.,-3.788609743
162,also sang for the character PERSON@1 in the movie Corpse Bride .,He also sang for the character PERSON@1 in the movie Corpse Bride.,-5.888345242
163,"Morning Glory '' is a song by English rock band Oasis , written by Noel Gallagher , and which was released on the band 's second album -LRB- What 's the Story -RRB- Morning Glory ?","'' Morning Glory '' is a song by English rock band Oasis, written by Noel Gallagher, and which was released on the band's second album -LRB- What's the Story -RRB- Morning Glory?",-0.901293278
164,"100 of its supermarkets are located in Iowa , with additional stores in Colorado , Illinois , Kansas , Minnesota , Missouri , Nebraska , and South Dakota with expansion under way into Wisconsin .","Over 100 of its supermarkets are located in Iowa, with additional stores in Colorado, Illinois, Kansas, Minnesota, Missouri, Nebraska, and South Dakota with expansion under way into Wisconsin.",-1.794119477
165,"Madrid Club de FÃ tbol -LRB- Royal Madrid Football Club -RRB- , commonly known as Real Madrid , is a professional football club based in Madrid , Spain .",Real Madrid F tbol -LRB- Spanish: Royal Madrid Football Club -RRB- is a football club which plays in Spain.,-1.905085325
166,rear treatment leaves the engine totally exposed to aid in cooling .,The rear treatment leaves the engine totally exposed.,-2.612351656
167,"it is located east of the LOCATION@1 , the rain-bearing westerly winds deposit rain and snow on the mountains leaving the Monaro region in a rain shadow .","Because it is east of the LOCATION@1, the rain-bearing westerly winds deposit rain and snow on the mountains leaving the Monaro region in a rain shadow.",-0.940907896
168,"general , cultured pearls are less valuable than natural pearls , whereas imitation pearls almost have no value .","In general, cultured pearls are less valuable than natural pearls, whereas imitation pearls almost have no value.",-3.932189941
169,"name Brig is derived from Briva , or '' bridge . ''","The name Brig comes from Briva, or '' bridge. ''",-0.992048204
170,PERSON@1 is a large main-belt asteroid .,NUMBER@1 PERSON@1 is a main-belt asteroid.,-3.589656353
