source_sentence,gold_sentence,pred
PERSON@1 has outlined us the road to the freedom And great PERSON@2 is leading us through it .,"Through tempests shined on us the sun of freedom , And the great PERSON@1 lit us the way .",PERSON@1 has given us the road to the freedom And great PERSON@2 is leading us through it.
"There is a lot of data/O. , that will take up a lot of space .","If there is a lot of data , it will take up a lot of space .","There is a lot of data/O., that will take up a lot of space."
"Encino -LRB- Spanish for evergreen or holm oak -RRB- is a hilly district of the City of Los Angeles , California , United States .","Encino , California is a district of Los Angeles .","Encino is a hilly district of Los Angeles in the state of California, United States."
"PERSON@1 , the protagonist of her novel , was a bohemian .","PERSON@1 , the protagonist of PERSON@2 s novel , was a bohemian .","PERSON@1, the main character of her novel, was a bohemian."
Karl Marginson,FC,Karl Marginson
Perm -LRB- ; Gramota .,Perm,Perm -LRB- ; Gramota -RRB-
"After escaping from slavery , into which she was born , she made thirteen missions to rescue more than 70 slaves using the network of antislavery activists and safe houses known as the Underground Railroad .",She used the help of the Underground Railroad .,"After escaping from slavery, into which she was born, she made thirteen missions to rescue more than 70 slaves using the Underground Railroad."
"His famous setting of '' It was a lover and his lass '' from As You Like It has never been established as having been used in a performance of Shakespeare 's play , though the possibility that it was is obvious .","We do not know whether the two men worked together , but Morley did set Shakespeare 's words '' It was a lover and his lass '' from As You Like It .",His famous setting of '' It was a lover and his lass '' from As You Like It has never been established as having been used in a performance of Shakespeares play.
"A derived binary relation between two sets is the subset relation , also called set inclusion .","A binary relation between two sets is the subset relation , also called set inclusion .","A derived binary relation between two sets is the subset relation, also called set inclusion."
"Asperger syndrome is also called Asperger 's syndrome -LRB- AS -RRB- , Asperger -LRB- or Asperger 's -RRB- disorder -LRB- AD -RRB- , or just Asperger 's .","For a person with Asperger syndrome , having Asperger syndrome is normal , because they have had it all their life .",Asperger's syndrome is also called Asperger's syndrome -LRB- AS -RRB-.
Oulens-sous-Echallens,Poliez-Pittet,Oulens-sous-Echallens
"As of , JyvÃ skylÃ had a population of .",There are about NUMBER@1 inhabitants in JyvÃ skylÃ . The ORGANIZATION@1 skylÃ is popular and respected .,"As of May, Jyv skyl had a population of."
"Barbara Pierce Bush was born at Baylor University Medical Center in Dallas , Texas .","Barbara Pierce Bush was born November 25 , 1981 at Baylor University Medical Center in Texas .","Barbara Bush was born at Baylor University Medical Center in Dallas, Texas."
"He won only 13 games while appearing in 43 out of Boston 's 48 games , which was the only time he missed games as a member of the Bruins .","In the 43 games he played , Thompson won only 13 .","He won only 13 games while playing in 43 out of Boston's 48 games, which was the only time he missed games as a member of the Bruins."
"The memorial is managed by the ORGANIZATION@1 , which was established as per the Jallianwala Bagh National Memorial Act passed by the Government of LOCATION@1 in NUMBER@1 .","The memorial is managed by ORGANIZATION@1 , which was established as per Jallianwala Bagh National Memorial Act passed by Government of LOCATION@1 in year NUMBER@1 .","The memorial is managed by the ORGANIZATION@1, which was established as per the Jallianwala Bagh National Memorial Act passed by the Government of LOCATION@1 in NUMBER@1."
Lourmarin is a commune in the LOCATION@1 department in the Provence-Alpes-C Ã te d'Azur region in southeastern LOCATION@2 .,Lourmarin is a commune of NUMBER@1 people -LRB- NUMBER@2 -RRB- . It is located in the region Provence-Alpes-C Ã te d'Azur in the LOCATION@1 department in the south of LOCATION@2 .,It is found in the region Provence-Alpes-C  te d'Azur in the LOCATION@1 department in the south of LOCATION@2.
"It lies west southwest of Bristol , north of Plymouth and northwest of the county town of Exeter .","It is found west southwest of Bristol , north of Plymouth and northwest of the county town of Exeter .","It is west southwest of Bristol, north of Plymouth and northwest of the county town of Exeter."
"The four yellow arrows symbolize the native nations of LOCATION@1 , whereas their pointing into the four cardinal directions of the compass stands for the centralized emanating political power of LOCATION@2 , as the capital of the country .",The four yellow arrows are for the native people of LOCATION@1 .,"The four yellow arrows represent the native nations of LOCATION@1. Their pointing into the four cardinal directions of the compass stands for the centralized emanating political power of LOCATION@2, as the capital of the country."
"After the fall of Saipan , the Japanese high command predicted that the Allies would try to capture the Philippines , which were strategically important because of their location between the oilfields of Southeast Asia and Japan .","After the fall of Saipan , the Japanese commanders knew that the Allies would try to capture the Philippines next . The Philippines were very important because they were located between the oil fields of Southeast Asia and Japan .","After the fall of Saipan, the Japanese high command predicted that the Allies would try to capture the Philippines, which were strategically important because of their location between the oil fields of Southeast Asia and Japan."
"Aquincum , originally a ORGANIZATION@1 settlement , was the direct ancestor of LOCATION@1 , becoming the Roman capital of LOCATION@2 .",Its highest place is PERSON@1 -LRB- NUMBER@1 m. -RRB- .,"Aquincum, originally a ORGANIZATION@1 settlement, was the direct ancestor of LOCATION@1, becoming the Roman capital of LOCATION@2."
"When the academy was founded , the ballroom was the biggest room in Stockholm that could be heated and thus used in the winter , so the king asked if he could borrow it .","In 1786 , the ballroom was the biggest room in Stockholm that could be heated and be used in the winter . The king asked if he could use it .","When the academy was founded, the ballroom was the biggest room in Stockholm that could be heated and used in the winter. The king asked if he could borrow it."
"Re-runs still air on ORGANIZATION@1 and The Comedy Network in LOCATION@1 , ORGANIZATION@2 in the LOCATION@2 .",References,Re-runs still air on ORGANIZATION@1 and The Comedy Network in LOCATION@1.
"The White Nights Festival in LOCATION@1 , LOCATION@2 is an annual international arts festival during the season of the midnight sun .","Many famous Russian dancers , singers , musicians and actors , take part , as well as famous international guest stars .","The White Nights Festival in LOCATION@1, LOCATION@2 is an international arts festival."
"ORGANIZATION@1 -LRB- pronounced '' AZ-har '' , ; , '' the Noble Azhar '' -RRB- in LOCATION@1 , founded in NUMBER@1 , is the chief centre of Arabic literature and Sunni Islamic learning in the world and the world 's second oldest surviving degree granting university .","ORGANIZATION@1 -LRB- pronounced '' AZ-har '' , ; '' the Noble Azhar '' -RRB- in LOCATION@1 , founded in NUMBER@1 , is the chief centre of Arabic literature and Sunni Islamic learning in the world and the world 's second oldest surviving degree granting university .","ORGANIZATION@1 -LRB- pronounced '' AZ-har '', '' the Noble Azhar '' -RRB- in LOCATION@1, founded in NUMBER@1, is the chief centre of Arabic literature and Sunni Islamic learning in the world."
"Two years later , in NUMBER@1 , a combination of the physical standard from the ORGANIZATION@1 of LOCATION@1 and the ability standard from the ORGANIZATION@2 led to the English Springer Spaniel breed being officially recognized by the ORGANIZATION@3 .",The English Springer Spaniel is a dog breed used to help hunters get their animals . It is one of many spaniel breeds .,The English Springer Spaniel breed was officially recognized by the ORGANIZATION@3 in NUMBER@1.
"In probability theory and statistics , the normal distribution , or Gaussian distribution , is an absolutely continuous probability distribution whose cumulants of all orders above two are zero .",The normal distribution is a continuous probability distribution .,"In probability theory and statistics, the normal distribution, or Gaussian distribution, is an absolutely continuous probability distribution whose cumulants of all orders above two are zero."
Survivor : Africa is the third season of the United States reality show Survivor .,"There were thirteen episode , plus a mid-season recap , a live reunion\/interview with Bryant Gumbel after the finale , and a '' where are they now '' show .",Survivor : Africa is the third season of the American reality show Survivor.
"Dracula is an epistolary novel , written as a collection of realistic , but completely fictional , diary entries , telegrams , letters , ship 's logs , and newspaper clippings , all of which added a level of detailed realism to his story , a skill he developed as a newspaper writer .","Dracula is an epistolary novel , written as collection of diary entries , telegrams , and letters from the characters , as well as fictional clippings from the LOCATION@1 and LOCATION@2 newspapers .","Dracula is an epistolary novel, written as a collection of realistic, but completely fictional diary entries, letters, ship's logs, and newspaper clippings."
