source_sentence,simplified_sentence
"Life After Life sold more than NUMBER@1 million copies , was translated into a dozen foreign languages and became an international best seller , which made the subject of NDEs popular and opened the way for many other studies .","Life After Life sold more than NUMBER@1 million copies and became an international best seller which made the subject of near death experiences popular , and opened the way for many other studies ."
"Lamellibrachia is a genus of tube worms related to the giant tube worm , Riftia pachyptila .",Seep tube worms -LRB- which are of the genus Lamellibrachia -RRB- are related to the giant tube worms .
"He spent time in the French Navy , and in 1889 and 1890 he served on the crew of the frigate IphigÃ nie and spent several years in Cochinchina .",He spent some time in the French Navy . In 1889 and 1890 he served on the crew of the frigate IphigÃ nie .
"LOCATION@1 -LRB- -RRB- -LRB- or archaically , LOCATION@2 -RRB- , is a county in LOCATION@3 on the English Channel coast .",LOCATION@1 is a county in south LOCATION@4 which is by the sea .
"Olga Maria Elisabeth Friederike Schwarzkopf was born in Jarotschin in the province of Posen in Prussia to Friedrich Schwarzkopf and his wife , Elisabeth nÃ e FrÃ hling .",Elisabeth Schwarzkopf was born in Jarotschin in the province of Posen in Prussia .
"It is found in the southern part of Western Australia , South Australia near the coast , and the Darling River basin .","It is found in the south part of Western Australia , South Australia near the coast , and the Darling River basin ."
"Training has specific goals of improving one 's capability , capacity , and performance .","Training is specific and done to improve one 's capability , capacity , and performance ; see , e.g. , strength training or flexibility training ."
"On 20 July 2007 , it was announced that Scottish Football League would be sponsored by Scottish soft drink Irn-Bru for the next three seasons .","On July 20 , 2007 , it was announced that the Scottish Football League would be sponsored by Scottish soft drink company Irn-Bru for the next three seasons ."
"It was named for Brigadier General Francis Nash , who had been mortally wounded that year at the Battle of Germantown .","It was named for Brigadier General Francis Nash , who had been wounded that year at the Battle of Germantown ."
"Suchzeichen -LRB- '' Quest signal '' -RRB- , composed of three-dits/three dahs/one-dit , all run together -LRB- · · · -- -- -- · -RRB- , used by ships to get the attention of shore stations .","Suchzeichen -LRB- '' Quest signal '' -RRB- , made of three-dits/three dahs/one-dit , all run together -LRB- · · · -- -- -- · -RRB- ."
The Pioneer program is a series of United States unmanned space missions that was designed for planetary exploration .,The Pioneer program is the name of a few unmanned space missions done by NASA between 1958 and 1978 .
"However , late on July 20 thunderstorm activity increased .","However , late on July 20 thunderstorms became more active ."
"It was filmed in 2002 and 13 episodes aired weekly in the United States on CBS from February 13 - May 11 , 2003 .","There were thirteen episodes , one was shown each week on CBS from February 13 - May 11 , 2003 ."
"People who believe in this theory think that life is too to have been evolved , and that a being created humans .","People who believe in this theory think that life is too intelligence to have evolved all by itself , and that a being created humans ."
'' Lying is the Most Fun a Girl can have Without Taking Her Clothes Off '' is also the title of another song by Panic !,'' Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off '' is also the title of another song by Panic at the Disco .
"PERSON@1 -LRB- May NUMBER@1 , NUMBER@2 August NUMBER@3 , NUMBER@4 -RRB- , first wife of PERSON@2 , was First Lady of the LOCATION@1 from NUMBER@5 until her death .","PERSON@3 -LRB- May NUMBER@1 , NUMBER@2 - August NUMBER@3 , NUMBER@4 -RRB- was the first wife of PERSON@2 ."
"Shelbies are also capable of knowing if it is talking to a Furby or another Shelby , saying phrases such as '' Where 's Furby ? ''","Shelbys are also capable of knowing if it is talking to a Furby or another Shelby , saying phrases such as '' Where 's Furby ? ''"
September -- December & ndash ; PERSON@1 undertakes his Italian Journey -LRB- published in NUMBER@1 -RRB- .,PERSON@1 undertakes his Italian Journey throughout September-December -LRB- published in NUMBER@1 -RRB-
"The ORGANIZATION@1 is an American professional soccer club based in the LOCATION@1 suburb of LOCATION@2 , LOCATION@3 that participates in ORGANIZATION@2 .","The ORGANIZATION@3 are a soccer team that plays in ORGANIZATION@2 in LOCATION@2 , LOCATION@3 ."
"Dweeb also made three appearances in the main series , one a clip show from the last two seasons .",The Professor Dweeb also made infrequent appearances in the main series .
-LRB- Sind -RRB- is one of the four provinces of Pakistan and is home to the Sindhis and various other groups .,"The Government of Sindh is based in Karachi , Sindh , Pakistan ."
"Athlete 's foot causes scaling , flaking , and itching of the affected skin .","Athlete 's foot causes scaling , flaking , itching , blisters and cracked skin ."
The Romans attempted to drain the marshland by digging the ditch that runs north through what is now known as the LOCATION@1 area north of the town near LOCATION@2 .,During the Roman Empire the Romans digged a ditch that runs north through what is now known as the LOCATION@1 area north of the town near LOCATION@2 .
"Derby Tramway was the tram system serving the city of Derby -LRB- then a town -RRB- , England .","Derby Tramway was tram system that serverd the city of Derby -LRB- then a town -RRB- , England ."
Branches of the NSE are located throughout India .,The branches of the NSE are located throughout India .
"The team played in the Interprovincial Rugby Football Union , which later became the CFL 's east division .","The team played in the Interprovincial Rugby Football Union , which later became the CFLs east division ."
It is located between Aachen and Cologne on the river Rur .,Düren is located at the river Rur .
The only incidence of this form in contemporary use is at Shiogama Jinja '' é 1\/2 ç '' ç ç 3\/4 '' .,"The city got its name from the shrine , but the shrine is written é 1\/2 ç '' ç ç 3\/4 ."
"Football Club Crotone is a football club based in Crotone , Calabria .",F.C. Crotone is a football club which plays in Italy .
Dave de Sylvia -LRB- Sputnikmusic -RRB- link,Mike Stagno -LRB- Sputnikmusic -RRB- link
Austrian scientist Georg Steinhauser has also researched on the subject .,Austrian scientist Georg Steinhauser has also done research on the navel lint .
"The Hershey Company , known until April 2005 as the Hershey Chocolate Corporation and commonly called Hershey 's , is the largest chocolate manufacturer in North America .","The Hershey Company , until April 2005 Hershey Foods Corporation , commonly called Hershey 's , is America 's largest chocolate company ."
"Late that afternoon the low transitioned into a Subtropical Storm , while stalled about 800 mi -LRB- 1,300 km -RRB- west-southwest of the Azores .","Late that afternoon the low became Subtropical Storm Delta , while located over 800 miles -LRB- 1300 km -RRB- west-southwest of the Azores ."
"The square metre -LRB- British spelling -RRB- or square meter -LRB- American spelling -RRB- is the SI derived unit of area , with symbol m2 -LRB- 33A1 in Unicode -RRB- .","The square metre -LRB- also spelled square meter , see spelling differences -RRB- is the SI derived unit of area , with symbol mÂ -LRB- 33A1 in Unicode -RRB- ."
"Focus on the Family -LRB- FOTF , or FotF -RRB- is an American evangelical Christian tax-exempt non-profit organization founded in NUMBER@1 by psychologist PERSON@1 , and is based in LOCATION@1 , LOCATION@2 .","Focus on the Family -LRB- FOTF , or FotF -RRB- is an American evangelical group . The non-profit organization was founded in NUMBER@1 by PERSON@1 , and is based in LOCATION@1 , LOCATION@2 ."
"Despite this , many Christian movements , like the Orthodox Church , Jehovah 's Witnesses , or the Seventh-day Adventist Church still adhere to a literal reading .","In spite of this , many Christian movements , like the Orthodox Church , Jehovah 's Witnesses , or the Seventh-day Adventist Church still keep to a literal reading ."
"On an English keyboard , characters that typically require the use of the shift key include the parentheses , the question mark , the exclamation point , and the colon .","On an English keyboard , characters that need the shift key pressed down include the parentheses , the question mark , the exclamation point , and the colon ."
"The National Hurricane Center forecasted Tropical Depression Four-E to become Tropical Storm Boris and make landfall in Mexico with winds of 50 n/O. In the same advisory , it was noted that the outer rain bands of Tropical Depression Four-E had moved onshore Mexico .","The National Hurricane Center forcasted Tropical Depression Four-E to become Tropical Storm Boris and make landfall in Mexico with winds of 50 n/O. In the same advisory , it was noted that the outer rain bands of brand new Tropical Depression Four-E had moved onshore Mexico ."
