,source_sentence,simplified_sentence
507742,"According to PERSON@1 's guide , PERSON@2 was founded in NUMBER@1 in the LOCATION@1 as ORGANIZATION@1 , but changed its name in NUMBER@2 .","State According to PERSON@3 guide NUMBER@3 , PERSON@2 was founded in NUMBER@1 in the LOCATION@1 as ORGANIZATION@1 , but changed its name in NUMBER@2 ."
61214,D -LRB- ; named dee -RRB- is the fourth letter in the basic modern Latin alphabet .,D is the fourth -LRB- number 4 -RRB- letter in the alphabet .
431445,"He and first wife , political activist PERSON@1 , are the parents of Film and TV Screenwriter , PERSON@2 -LRB- PERSON@3 the Vampire Slayer , PERSON@4 , Firefly , and Dollhouse -RRB- .","PERSON@5 is also the father of writer\/producer\/director PERSON@2 , the creator of Buffy the Vampire Slayer , PERSON@4 , and Firefly ."
38360,"Leonardo Da Vinci began painting the Mona Lisa in 1503 or 1504 in Florence , Italy .","Leonardo began painting the Mona Lisa in 1503 or 1504 in Florence , Italy ."
553489,"Human embryos reach the blastocyst stage NUMBER@1 -- NUMBER@2 days post fertilization , at which time they consist of NUMBER@3 -- NUMBER@4 cells .",Human embryos reach the blastocyst stage NUMBER@5 days after fertilization .
462456,Traditional bap of LOCATION@1 is not sweet unlike Irish version which may contain currants .,Baps traditional made in LOCATION@1 are not sweet unlike Irish version which may contain currants .
301571,LOCATION@1 -LRB- amarÉ Ã Ã a -RRB- is a Semitic language spoken in LOCATION@2 by the Amhara .,LOCATION@1 -LRB- á á á á Ä mariÃ Ã Ä -RRB- is a Semitic language spoken in LOCATION@2 by the Amhara .
226632,Oases also provide habitat for animals and even humans if the area is big enough .,"Oases provide a habitat for animals , sometimes even for humans ."
85980,The city has been witness to the rise and fall of political powers throughout Nicaragua 's history and suffered two devastating earthquakes over the course of the 20th century .,The city has had two destructive earthquakes in the 20th century .
250316,"'' Let Me Know , '' previously titled '' Sunday Driver , '' was the song Paul Stanley played when he was first introduced to Gene Simmons , and it was later recorded by Wicked Lester .",Let Me Know
471591,In winter camps they lived in snow shelters called igloos .,They once lived in houses made of snow called igloos .
344965,It was set in LOCATION@1 's ORGANIZATION@1 on the African continent .,The game
22229,"In the Middle Ages , boroughs were settlements in England that were granted some self-government ; burghs were the Scottish equivalent .",In such cases the borough will normally have either limited powers delegated to it by the citys local government or no powers at all .
133591,Cadillac-en-Fronsadais is a commune in the Gironde department in Aquitaine in southwestern France .,It is found in the region Aquitaine in the Gironde department in the southwest of France .
129016,"The building of the first Baja Bug is generally credited to Gary Emory of Parts Obsolete , circa 1968 .",The first Baja Bug may have been built by Gary Emory of Parts Obsolete in or around 1968 .
26970,It has also been sold as Lancer Fortis in Taiwan with a different facelift compared to Galant Fortis .,"It has been known as the Colt Lancer , Dodge\/Plymouth Colt , Chrysler Valiant Lancer , Chrysler Lancer , Eagle Summit , Hindustan Lancer , Soueast Lioncel , Mitsubishi Carisma , and Mitsubishi Mirage in various countries at different times , and will be sold as the Galant Fortis in its home market from 2007 ."
37885,Signatures must not contain categories .,Signatures must not have categories inside them .
350876,"The team never achieved a podium finish , only managing three 4th place finishes : Martini twice in NUMBER@1 and PERSON@1 in NUMBER@2 .",PERSON@2 finished 4th twice in and PERSON@1 in .
341458,PERSON@1 is a LOCATION@1 municipality located in the Belgian province of LOCATION@2 .,PERSON@1 is a municipality located in the Belgian province of LOCATION@2 .
410614,"In NUMBER@1 , the Latin text was issued , which became the official text of reference -LRB- editio typica -RRB- and which amended the contents of the provisional French text at a few points .",The Latin text is now the official text of reference the contents of the first French text were amended at a few points .
482972,"His grandfather was PERSON@1 , a priest of the ORGANIZATION@1 from the LOCATION@1 region .","His grandfather was PERSON@1 , a priest of ORGANIZATION@1 from the LOCATION@1 region ."
163534,"The Linnean Society of London aims to promote the study of all aspects of the biological sciences , with particular emphasis on evolution , taxonomy , biodiversity and sustainability .","The Linnean Society of London wants to promote the study of all areas of the biological sciences . They especially want to promote the study of evolution , taxonomy , biodiversity and sustainability ."
553477,"The triangular turreted structure was set amidst a dense plantation of trees and overlooked LOCATION@1 Water , a man-made body of water constructed by PERSON@1 and PERSON@2 at the behest of the Duke .","The triangular turreted structure was set in a dense plantation of trees and overlooked LOCATION@1 Water , a man-made body of water constructed by PERSON@1 and PERSON@2 at the request of the Duke ."
253138,"Biogas train in SwedenFriendly fuel trains -LRB- Oct. 30 , 2005 -RRB- New Straits Times , p. F17 .","New Straits Times , p. F17 ."
330061,"A trill is a rapid alternation between an indicated note and the one above , also known as the shake .",It was also known as a shake .
540364,"To the south-east the upper reaches of the LOCATION@1 and towns such as LOCATION@2 , LOCATION@3 and LOCATION@4 are often considered to mark the limit of this region .","To the south towns as LOCATION@5 , LOCATION@2 , LOCATION@3 , LOCATION@6 and LOCATION@4 mark the southern limit of this region ."
181365,"Anne Neville , Countess of Warwick -LRB- d. 1492 -RRB-","Anne Neville , Countess of Warwick -LRB- died 1492 -RRB-"
175091,'' Friend Like That '' Acoustic -- 2:49,'' Friend Like That '' -- 2:49
10525,"Avon , South Australia",Australia
204219,"After a short stay in England , in 1935 they were invited to live in the USSR by Nikolai Krylenko , the Commissar of Justice who was responsible for the Moscow show trials and , in his other capacity as Sports Minister , was an enthusiastic supporter of chess .","p268 p218 After a stay in England , in 1935 they were invited to live in the USSR by Nikolai Krylenko , the Commissar of Justice who was responsible for the Moscow show trials and , in his other capacity as Sports Minister , was an enthusiastic supporter of chess ."
296838,"In the end , PERSON@1 surrenders to PERSON@2 .","In the end , PERSON@1 surrendered to PERSON@2 ."
320492,"In an organized sports league , a season is the portion of one year in which regulated games of the sport are in session .","In sports , a season is the part of one year that games of that sport are played ."
563404,"It forms the practical part of a national memorial to the LOCATION@1 - the decorative part is the LOCATION@2 directly to the north in LOCATION@3 , now separated from the Hall by the heavy traffic along PERSON@1 .",Queen PERSON@2 laid the first stone .
115678,"The Mesolithic -LRB- Greek : mesos '' middle '' , lithos stone -RRB- or '' Middle Stone Age '' was a period in the development of human technology in between the Paleolithic or Old Stone Age and the Neolithic or New Stone Age , in which farming appeared .",The Mesolithic was a period in the development of human technology between the Paleolithic and Neolithic periods of the Stone Age .
246809,"António de Oliveira Salazar , GColIH , GCTE367th Grand Cross in 1932 , GCSE -LRB- ; 28 April 1889 & ndash ; 27 July 1970 -RRB- served as the Prime Minister of Portugal from 1932 to 1968 .",Dr Salazar was Prime Minister from 1932 until 1968 .
339139,"Rage formed in NUMBER@1 under the name , PERSON@1 .",Under the name PERSON@1
257227,A sock is an item of clothing worn on the feet .,Sock - the item of clothing
1980,A soap bubble is a very thin film of soapy water that forms a sphere with an iridescent surface .,Freezing
484789,The APX -LRB- also known as the '' Aluminium Performance Crossover '' -RRB- is an aluminium concept vehicle revealed at the NUMBER@1 Geneva Motor Show built on ORGANIZATION@1 's Versatile Vehicle Architecture -LRB- ORGANIZATION@2 -RRB- .,The APX -LRB- also known as the '' Aluminum Performance Crossover '' -RRB- is an aluminum concept vehicle revealed at the NUMBER@1 ORGANIZATION@3 . It is built on ORGANIZATION@1 's Versatile Vehicle Architecture -LRB- ORGANIZATION@2 -RRB- .
355201,"In modern terminology , SOS is a Morse '' procedural signal '' or '' prosign '' , and the formal way to write it is with a bar above the letters , i.e. SOS .","In modern terminology , SOS is a '' procedural signal '' or '' prosign '' , and the formal way to write it is with a bar above the letters . It should be written SOS ."
354233,"Successor to the ORGANIZATION@1 New Class , it has been produced in five different generations and in no less than five different body styles .",ORGANIZATION@1 NUMBER@1 Series is a car produced by ORGANIZATION@1 since NUMBER@2 .
82391,Wagner spent the next twelve years in exile .,Years in exile
398984,"Additionally , PERSON@1 comes with many specialized tools , designed for beginner through advanced users as it offers system configuration via both graphical and command-line operations .",PERSON@2
498113,"PERSON@1 -LRB- June NUMBER@1 , NUMBER@2 â '' August NUMBER@3 , NUMBER@4 -RRB- was a student at the ORGANIZATION@1 and a former Marine who killed NUMBER@5 people and wounded NUMBER@6 others during a shooting rampage on and around the university 's campus on Aug. NUMBER@3 , NUMBER@4 .","PERSON@1 -LRB- born June NUMBER@1 , NUMBER@2 in LOCATION@1 , LOCATION@2 â '' died August NUMBER@3 , NUMBER@4 in LOCATION@3 , LOCATION@4 -RRB- was a ex-marine and student who is best known for committing the Tower shooting at the ORGANIZATION@1 on August NUMBER@3 , NUMBER@4 where he killed NUMBER@7 people and wounded NUMBER@6 others ."
33299,"For instance , while dhikr is commonly understood as the practice of remembering God , it has also been used in the Islamic sources to indicate God as the subject and the servant as the object of dhikr , and also been directly applied to the Islamic prophet , Muhammad , as embodiment of dhikr of God .",Dhikr is a kind of worship to God .
570290,"While it has been described as the world 's smallest nation , ORGANIZATION@1 is not currently officially recognized as a sovereign state by any sovereign state .",Head of Government : Prince Regent PERSON@1
589723,"Regarding its mix of folk , balladry and prog rock , ORGANIZATION@1 editors PERSON@1 and PERSON@2 have said , '' Some of it belonged in NUMBER@1 and some of it in ' NUMBER@2 , but in NUMBER@3 it all seemed vastly incongruous .",Unwashed And Somewhat Slightly Dazed
